Класс,Средняя оценка,Время выполнения ДЗ,Частота игры,Устройство,Предпочитаемые игры,Жанр,Интерес к компьютерным играм
10-11,5.0,Более 3 часов,None,None,None,None,None
10-11,5.0,"До 1,5 часа",Умеренно,Персональный компьютер,Dota 2,Стратегия,"Увлекательный геймплей, Приятный интерфейс, Хорошее музыкальное сопровождение, Интересный сюжет, Люди"
10-11,4.5,От 2 до 3 часов,Умеренно,Персональный компьютер,Симулятор,Симулятор,"Увлекательный геймплей, Интересный сюжет"
10-11,4.5,"До 1,5 часа",Умеренно,Оба варианта,Симулятор,Симулятор,"Увлекательный геймплей, Хорошее музыкальное сопровождение"
10-11,4.5,От 2 до 3 часов,Редко,Мобильное устройство,"Судоку, филворды",Головоломки,"Приятный интерфейс, Хорошее музыкальное сопровождение"
10-11,4.5,"До 1,5 часа",Часто,Оба варианта,"Cs 2, Brawl Stars",Шутер,"Увлекательный геймплей, Приятный интерфейс"
10-11,4.5,"До 1,5 часа",Часто,Оба варианта,"Cs 2, Brawl Stars",Шутер,"Увлекательный геймплей, Приятный интерфейс, Хорошее музыкальное сопровождение, Интересный сюжет, Другое"
10-11,4.5,Практически отсутсвует,Часто,Персональный компьютер,"Cyberpunk 2077, Subnautica",Шутер,"Увлекательный геймплей, Приятный интерфейс, Хорошее музыкальное сопровождение, Интересный сюжет"
10-11,4.0,Практически отсутсвует,Умеренно,Персональный компьютер,Фентези,Ролевые,"Хорошее музыкальное сопровождение, Интересный сюжет"
10-11,4.0,От 2 до 3 часов,Умеренно,Мобильное устройство,Видеогры,Разное,Интересный сюжет
10-11,4.0,От 2 до 3 часов,Умеренно,Персональный компьютер,RP-Role play,Ролевые,Приятный интерфейс
10-11,4.0,"До 1,5 часа",Часто,Оба варианта,FPS,Шутер,"Увлекательный геймплей, Приятный интерфейс, Интересный сюжет"
10-11,4.0,"До 1,5 часа",Часто,Оба варианта,"Brawl Stars, Standoff 2, МК","Приключения, Песочница, Шутер","Увлекательный геймплей, Приятный интерфейс, Интересный сюжет"
10-11,4.0,От 2 до 3 часов,Редко,Мобильное устройство,PUBG,"Экшен, Шутер",Увлекательный геймплей
10-11,4.0,"До 1,5 часа",Часто,Оба варианта,Дурак онлайн,Казуальные,"Увлекательный геймплей, Приятный интерфейс, Хорошее музыкальное сопровождение, Интересный сюжет"
10-11,4.0,"До 1,5 часа",Редко,Персональный компьютер,Стрелялки убивалки,Шутер,"Увлекательный геймплей, Приятный интерфейс, Хорошее музыкальное сопровождение, Интересный сюжет"
10-11,4.0,Более 3 часов,Редко,Оба варианта,Творческий,Песочница,"Увлекательный геймплей, Приятный интерфейс, Хорошее музыкальное сопровождение, Интересный сюжет"
10-11,4.0,Более 3 часов,Редко,Мобильное устройство,Subway serf,Платформер,"Увлекательный геймплей, Приятный интерфейс"
10-11,4.0,"До 1,5 часа",Редко,Мобильное устройство,Квесты,Приключения,Интересный сюжет
10-11,4.0,"До 1,5 часа",Умеренно,Мобильное устройство,Minecraft ,"Песочница, Приключения","Приятный интерфейс, Интересный сюжет"
10-11,4.0,"До 1,5 часа",Редко,Мобильное устройство,Интеллектуальные,Головоломки,"Хорошее музыкальное сопровождение"
10-11,4.0,"До 1,5 часа",Редко,Мобильное устройство,Квесты,Приключения,"Хорошее музыкальное сопровождение, Интересный сюжет"
10-11,3.5,Практически отсутсвует,Часто,Персональный компьютер,Раст,Симулятор,Увлекательный геймплей
10-11,3.5,"До 1,5 часа",Умеренно,Персональный компьютер,Cs 2,Шутер,Увлекательный геймплей
10-11,3.5,Практически отсутсвует,Редко,Оба варианта,Genshin Impact,"Приключения, Экшен","Хорошее музыкальное сопровождение, Интересный сюжет, Графика"
8-9,3.0,"До 1,5 часа",Часто,Персональный компьютер,Stalcraft,"Шутер, Хоррор",Увлекательный геймплей
8-9,5.0,"До 1,5 часа",Редко,Мобильное устройство,"Subway serf, Minecraft, Traffic Rider, slither.io","Песочница, Приключения, Платформер",Увлекательный геймплей
8-9,4.0,От 2 до 3 часов,Редко,Персональный компьютер,None,Шутер,"Увлекательный геймплей, Хорошее музыкальное сопровождение, Интересный сюжет"
8-9,4.0,"До 1,5 часа",Часто,Персональный компьютер,"Minecraft, Fortnite",Песочница,"Увлекательный геймплей, Интересный сюжет"
8-9,3.0,"До 1,5 часа",Умеренно,Мобильное устройство,MobileLegend ,"Песочница, Экшен",Интересный сюжет
8-9,4.0,Более 3 часов,None,None,None,None,None
8-9,4.5,"До 1,5 часа",Часто,Мобильное устройство,РП проекты,Ролевые,"Увлекательный геймплей, Интересный сюжет"
8-9,4.0,"До 1,5 часа",Умеренно,Мобильное устройство,РП проекты,Ролевые,Увлекательный геймплей
8-9,3.5,"До 1,5 часа",Умеренно,Оба варианта,Шутер,Шутер,Увлекательный геймплей
8-9,4.0,Более 3 часов,Часто,Персональный компьютер,"Roblox, Minecraft, OSU","Песочница, Приключения","Увлекательный геймплей, Приятный интерфейс, Хорошее музыкальное сопровождение, Интересный сюжет"
8-9,5.0,"До 1,5 часа",Редко,Мобильное устройство,Том за золотом,Платформер,"Увлекательный геймплей, Хорошее музыкальное сопровождение"
8-9,4.5,"До 1,5 часа",Редко,Оба варианта,"Шутер,аркада","Шутер, Аркада","Увлекательный геймплей, Приятный интерфейс, Интересный сюжет"
8-9,5.0,От 2 до 3 часов,Умеренно,Мобильное устройство,None,Экшен,Интересный сюжет
8-9,5.0,От 2 до 3 часов,Часто,Мобильное устройство,None,Экшен,Приятный интерфейс
8-9,4.0,Более 3 часов,Часто,Оба варианта,"Minecraft, Standoff 2","Песочница, Приключения, Экшен","Увлекательный геймплей, Приятный интерфейс, Хорошее музыкальное сопровождение, Котент"
8-9,3.0,"До 1,5 часа",Умеренно,Мобильное устройство,None,Разное,Интересный сюжет
8-9,3.0,"До 1,5 часа",Часто,Мобильное устройство,Tanks blitz,Шутер,"Увлекательный геймплей, Приятный интерфейс, Хорошее музыкальное сопровождение"
8-9,3.0,"До 1,5 часа",Часто,Оба варианта,Tanks blitz,Шутер,Увлекательный геймплей
8-9,4.0,От 2 до 3 часов,Умеренно,Персональный компьютер,None,Шутер,"Приятный интерфейс, Интересный сюжет"
8-9,4.0,Более 3 часов,Умеренно,Оба варианта,Minecraft,"Песочница, Приключения","Увлекательный геймплей, Интересный сюжет"
8-9,4.5,От 2 до 3 часов,Умеренно,Мобильное устройство,Brawl Stars,"Экшен, Шутер","Увлекательный геймплей"
8-9,4.0,От 2 до 3 часов,Редко,Мобильное устройство,Brawl Stars,"Экшен, Шутер",Интересный сюжет
8-9,4.5,От 2 до 3 часов,Редко,Оба варианта,Minecraft,"Песочница, Приключения",Интересный сюжет
8-9,3.5,Практически отсутсвует,Редко,Мобильное устройство,Тетрис,Аркада,"Увлекательный геймплей, Интересный сюжет"
8-9,5.0,Более 3 часов,Редко,Мобильное устройство,"Minecraft, гонки","Песочница, Приключения","Увлекательный геймплей, Интересный сюжет"
8-9,3.0,От 2 до 3 часов,Редко,Мобильное устройство,Приключения и ужасы,Приключения,"Приятный интерфейс, Интересный сюжет"
8-9,4.0,От 2 до 3 часов,Умеренно,Мобильное устройство,Brawl Stars,Экшен,"Увлекательный геймплей, Интересный сюжет"
8-9,4.5,"До 1,5 часа",Часто,Мобильное устройство,Интеллектуальные ,Головоломки,"Интересный сюжет"
8-9,4.0,Более 3 часов,Умеренно,Мобильное устройство,Хоррор,Хоррор,Интересный сюжет
8-9,4.0,"До 1,5 часа",None,None,None,None,None
8-9,4.0,"До 1,5 часа",Умеренно,Мобильное устройство,Головоломки,Головоломки,Интересный сюжет
8-9,3.5,От 2 до 3 часов,Редко,Мобильное устройство,Развивающие,Головоломки,Развивающие
8-9,3.5,От 2 до 3 часов,Умеренно,Мобильное устройство,Хоррор,Хоррор,"Хорошее музыкальное сопровождение, Интересный сюжет"
8-9,4.0,"До 1,5 часа",Редко,Мобильное устройство,Roblox,Разное,Интересный сюжет
8-9,3.0,От 2 до 3 часов,Умеренно,Оба варианта,Хоррор,Хоррор,"Хорошее музыкальное сопровождение, Интересный сюжет"
8-9,4.0,От 2 до 3 часов,Умеренно,Мобильное устройство,Brawl Stars,"Экшен, Шутер","Увлекательный геймплей, Приятный интерфейс, Интересный сюжет"
8-9,3.0,"До 1,5 часа",Часто,Персональный компьютер,None,Разное,Увлекательный геймплей
8-9,4.0,"До 1,5 часа",Редко,Мобильное устройство,Roblox,Разное,"Увлекательный геймплей"
8-9,3.0,"До 1,5 часа",Часто,Персональный компьютер,squas hoi 4,Стратегия,"Увлекательный геймплей, Интересный сюжет"
8-9,3.5,Практически отсутсвует,Часто,Персональный компьютер,None,"Экшен, Шутер","Интересный сюжет"
8-9,4.0,От 2 до 3 часов,Умеренно,Мобильное устройство,Путешествия,Приключения,"Увлекательный геймплей, Интересный сюжет"
8-9,4.0,Практически отсутсвует,Редко,Мобильное устройство,"Block Blast, Roblox","Экшен, Шутер",None
8-9,4.5,"До 1,5 часа",Умеренно,Мобильное устройство,Brawl Stars,"Экшен, Шутер","Приятный интерфейс, Интересный сюжет"
8-9,4.0,От 2 до 3 часов,Умеренно,Мобильное устройство,Бои,"Экшен, Шутер","Увлекательный геймплей, Приятный интерфейс"
8-9,3.5,"До 1,5 часа",Часто,Оба варианта,"Brawl Stars, Rust, Cs 2, Dota 2, PUBG","Экшен, Шутер, Стратегии","Увлекательный геймплей, Приятный интерфейс, Интересный сюжет"
8-9,4.5,От 2 до 3 часов,Умеренно,Мобильное устройство,В слова ,Головоломки,Увлекательный геймплей
8-9,4.0,От 2 до 3 часов,Умеренно,Мобильное устройство,Dota 2,Стратегия,Увлекательный геймплей
8-9,3.0,"До 1,5 часа",Часто,Оба варианта,Genshin impact,"Приключения, Экшен","Увлекательный геймплей, Интересный сюжет"
8-9,4.0,От 2 до 3 часов,None,None,None,None,None
8-9,3.0,От 2 до 3 часов,Умеренно,Мобильное устройство,Tanks blitz,"Экшен, Шутер",Интересный сюжет
8-9,4.0,От 2 до 3 часов,Умеренно,Персональный компьютер,Stalcraft,"Шутер, Хоррор","Увлекательный геймплей, Приятный интерфейс, Хорошее музыкальное сопровождение, Интересный сюжет"
8-9,5,От 2 до 3 часов,Редко,Персональный компьютер,"Dota 2, Fortnite","Стратегия, Экшен","Увлекательный геймплей, Интересный сюжет"
8-9,5.0,От 2 до 3 часов,Редко,Мобильное устройство,Гонки,Аркада,Интересный сюжет
8-9,4.5,Более 3 часов,Умеренно,Мобильное устройство,Гонки,Экшен,"Увлекательный геймплей, Приятный интерфейс, Хорошее музыкальное сопровождение, Интересный сюжет"
8-9,4.0,"До 1,5 часа",Умеренно,Персональный компьютер,Rust,Симулятор,"Увлекательный геймплей, Хорошее музыкальное сопровождение, Графика"
5-7,4.5,"До 1,5 часа",Умеренно,Мобильное устройство,Roblox,Разное,"Увлекательный геймплей, Интересный сюжет"